day_index,global_day,puzzle_id,category,human_reviewed,reviewer,notes
0,1,wordly-001,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
0,1,spelling-001,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
0,1,crossword-001,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
0,1,sudoku-001,SUDOKU,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
0,1,connections-001,CONNECTIONS,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
1,2,wordly-002,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
1,2,spelling-002,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
1,2,crossword-002,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
1,2,sudoku-002,SUDOKU,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
1,2,connections-002,CONNECTIONS,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
2,3,wordly-003,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
2,3,spelling-003,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
2,3,crossword-003,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
2,3,sudoku-003,SUDOKU,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
2,3,connections-003,CONNECTIONS,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
3,4,wordly-004,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
3,4,spelling-004,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
3,4,crossword-004,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
3,4,sudoku-004,SUDOKU,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
3,4,connections-004,CONNECTIONS,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
4,5,wordly-005,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
4,5,spelling-005,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
4,5,crossword-005,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
4,5,sudoku-005,SUDOKU,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
4,5,connections-005,CONNECTIONS,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
5,6,wordly-006,WORDLY,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
5,6,spelling-006,SPELLING_B,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
5,6,crossword-006,CROSSWORD,false,,Phase 14 generated candidate. Requires genuine human content review before production release.
